0001,日,0001_1.jpg,0001_2.jpg,日,4,常用漢字,1年,N5,10級,なし,ニチ,nichi,ジツ,jitsu,,,,,,,ひ,hi,か,ka,,,,,,,,,,,,,,,,,<ruby><rt>太陽</rt><rb>たいよう</rb></ruby>。<ruby><rt>日本</rt><rb>にほん</rb></ruby>の<ruby><rt>略</rt><rb>りゃく</rb></ruby>。<ruby><rt>1日</rt><rb>いちにち</rb></ruby>。<ruby><rt>毎日</rt><rb>まいにち</rb></ruby>。<ruby><rt>昼間</rt><rb>ひるま</rb></ruby>。<ruby><rt>日曜日</rt><rb>にちようび</rb></ruby>の<ruby><rt>略</rt><rb>りゃく</rb></ruby>。,来日（する）,らいにち（する）,rainichi(suru),visit [come] to Japan,スペインのサッカーチームが来日らいにちした。,日々,ひび,hibi,"day by day, every day",日々ひび、新あたらしいことを学まなぶ。,前日,ぜんじつ,zenjitsu,the day before,前日ぜんじつの雨あめで、その日ひは道みちがぬれていた。,今日,きょう・こんにち,明日,あした・あす・みょうにち,昨日,さくじつ・きのう,一日,いちにち・ついたち,日本,にほん・にっぽん
0002,一,0002_1.jpg,0002_2.jpg,一,1,常用漢字,1年,N5,10級,なし,イチ,ichi,イツ,itsu,,,,,,,ひと,hito,ひと・つ,hito-tsu,,,,,,,,,,,,,,,,,<ruby><rt>1</rt><rb>いち</rb></ruby>。ひとつ。いちばん。<ruby><rt>全部</rt><rb>ぜんぶ</rb></ruby>。わずか。ひたすら。～たり～たり。,一人,ひとり,hitori,one person,一人ひとりで日本にほんへ来きた。,一番,いちばん,ichiban,"the first, the best",一番いちばん初はじめに覚おぼえた漢字かんじは「一いち」だ。,一般（に）,いっぱん（に）,ippan(ni),"general, common",日本にほんの一般いっぱんの大学だいがくは4月しがつに始はじまる。,一部,いちぶ,一方,いっぽう,一致（する）,いっち（する）,一度（に）,いちど（に）,一生,いっしょう
0003,大,0003_1.jpg,0003_2.jpg,大,3,常用漢字,1年,N5,10級,なし,ダイ,dai,タイ,tai,,,,,,,おお,oo,おお・きい,oo-kii,おお・いに,oo-ini,おお・きな,oo-kina,,,,,,,,,,,,,おおきい。たくさん。とても。<ruby><rt>重要</rt><rb>じゅうよう</rb></ruby>な。<ruby><rt>最高</rt><rb>さいこう</rb></ruby>の。だいたい。<ruby><rt>大学</rt><rb>だいがく</rb></ruby>の<ruby><rt>略</rt><rb>りゃく</rb></ruby>。<ruby><rt>他</rt><rb>ほか</rb></ruby>。,大学,だいがく,daigaku,university,大学だいがくに入学にゅうがくする。,大人,おとな,otona,adult,大人おとなと子供こどもは言葉ことばの覚おぼえ方かたがちがう。,大使館,たいしかん,taishikan,embassy,ビザ発行はっこうのために、日本にほん大使館たいしかんへ行いった。,大学院,だいがくいん,大型,おおがた,大統領,だいとうりょう,拡大（する）,かくだい（する）,大規模（な）,だいきぼ（な）
0004,年,0004_1.jpg,0004_2.jpg,干,6,常用漢字,1年,N5,10級,なし,ネン,nen,,,,,,,,,とし,toshi,,,,,,,,,,,,,,,,,,,とし。とき。<ruby><rt>年齢</rt><rb>ねんれい</rb></ruby>。,年度,ねんど,nendo,"fiscal year, school year",今こん年度ねんどは、留学生りゅうがくせいが100人ひゃくにん入学にゅうがくした。,年間,ねんかん,nenkan,during the year,図書館としょかんは年間ねんかんのべ20万人にじゅうまんにんの利用者りようしゃがある。,今年,ことし・こんねん,kotoshi・konnen,this year,今年ことしの4月しがつに日本にほんへ来きた。/去年きょねん・今年ことし・来年らいねん,毎年,まいとし・まいねん,年月,ねんげつ・としつき,昨年,さくねん,前年,ぜんねん,学年,がくねん
0005,中,0005_1.jpg,0005_2.jpg,丨,4,常用漢字,1年,N5,10級,なし,チュウ,chuu,ジュウ,juu,,,,,,,なか,naka,,,,,,,,,,,,,,,,,,,まんなか。<ruby><rt>間</rt><rb>あいだ</rb></ruby>。うち。かたよらない。あたる。<ruby><rt>中国</rt><rb>ちゅうごく</rb></ruby>の<ruby><rt>略</rt><rb>りゃく</rb></ruby>。～しているところ。,中国,ちゅうごく,chuugoku,China,日本にほんと中国ちゅうごくは、一衣帯水いちいたいすいの隣国りんごくです。,中心,ちゅうしん,chuushin,"center, middle",この時間じかんは討論とうろんを中心ちゅうしんにして進すすめます。,世の中,よのなか,yononaka,world,世よの中なかには、いい人ひとも悪わるい人ひともいます。,中学校,ちゅうがっこう,中間,ちゅうかん,集中（する）,しゅうちゅう（する）,中央,ちゅうおう,中止,ちゅうし
0006,人,0006_1.jpg,0006_2.jpg,人,2,常用漢字,1年,N5,10級,なし,ジン,jin,ニン,nin,,,,,,,ひと,hito,,,,,,,,,,,,,,,,,,,ひと。<ruby><rt>他</rt><rb>ほか</rb></ruby>のひと。<ruby><rt>人</rt><rb>ひと</rb></ruby>を<ruby><rt>数</rt><rb>かぞ</rb></ruby>えることば、～<ruby><rt>人</rt><rb>にん</rb></ruby>。,人間,にんげん,ningen,human being,すべての人間にんげんは、しあわせに生いきる権利けんりがある。,本人,ほんにん,honnin,the said person,Aエーさんのことについては、Aエーさん本人ほんにんに聞きいてください。,人口,じんこう,jinkou,number of inhabitants,"日本にほんの人口じんこうは約やく1億2,700万人いちおくにせんななひゃくまんにんである。",人工,じんこう,友人,ゆうじん,人々,ひとびと,人生,じんせい,人類,じんるい
0007,会,0007_1.jpg,0007_2.jpg,𠆢（人）,6,常用漢字,2年,N5,9級,なし,カイ,kai,カイ・する/す（～が・～に）,kai-suru/su(～ga・～ni),エ,e,,,,,あ・う（～が・～に）,a-u(～ga・～ni),,,,,,,,,,,,,,,,,,,あう。<ruby><rt>人</rt><rb>ひと</rb></ruby>が<ruby><rt>集</rt><rb>あつ</rb></ruby>まる。<ruby><rt>分</rt><rb>わ</rb></ruby>かる。,会う,あう,au,meet,指導しどう教授きょうじゅに会あいに、研究室けんきゅうしつへうかがう。,会話（する）,かいわ（する）,kaiwa(suru),conversation,日本語にほんごの会話かいわの能力のうりょくをつけたい。,機会,きかい,kikai,opportunity,この機会きかいに日本にほんについてたくさん知しりたい。,会議（する）,かいぎ（する）,大会,たいかい,会員,かいいん,社会,しゃかい,会社,かいしゃ
0008,月,0008_1.jpg,0008_2.jpg,月,4,常用漢字,1年,N5,10級,なし,ガツ,gatsu,ゲツ,getsu,,,,,,,つき,tsuki,,,,,,,,,,,,,,,,,,,<ruby><rt>空</rt><rb>そら</rb></ruby>にあるつき。<ruby><rt>1年</rt><rb>いちねん</rb></ruby>を<ruby><rt>12</rt><rb>じゅうに</rb></ruby>に<ruby><rt>分</rt><rb>わ</rb></ruby>けた<ruby><rt>一</rt><rb>ひと</rb></ruby>つ。<ruby><rt>月曜日</rt><rb>げつようび</rb></ruby>の<ruby><rt>略</rt><rb>りゃく</rb></ruby>。,～か月［箇月・ケ月］,～かげつ［かげつ・かげつ］,～kagetsu,～N month(s),一いっか月げつに一度いちど、家賃やちんを払はらう。,一月,いちがつ,ichigatsu,January,一月いちがつを正月しょうがつともいう。,生年月日,せいねんがっぴ,seinengappi,one's date of birth,書類しょるいに名前なまえと生年月日せいねんがっぴを書かいてください。,一月,ひとつき,毎月,まいつき・まいげつ,先月,せんげつ,今月,こんげつ,来月,らいげつ
0009,本,0009_1.jpg,0009_2.jpg,木,5,常用漢字,1年,N5,10級,なし,ホン,hon,ボン,bon,ポン,pon,,,,,もと,moto,,,,,,,,,,,,,,,,,,,もと。<ruby><rt>中心</rt><rb>ちゅうしん</rb></ruby>。ほんもの。この。<ruby><rt>書物</rt><rb>しょもつ</rb></ruby>。<ruby><rt>細長</rt><rb>ほそなが</rb></ruby>いものを<ruby><rt>数</rt><rb>かぞ</rb></ruby>えることば、～<ruby><rt>本</rt><rb>ほん</rb></ruby>。,基本（的な）,きほん（てきな）,kihon(tekina),"basic, fundamental",日本語にほんごの基本的きほんてきな文法ぶんぽうは学まなんだ。,本当（な・に）,ほんとう（な・に）,hontou(na・ni),"truth, fact, really",本当ほんとうにありがとうございました。,資本,しほん,shihon,"capital, fund",日本にほんは、資本しほん主義国しゅぎこくである。,本格（的な）,ほんかく（てきな）,東日本,ひがしにほん,本来,ほんらい,本音,ほんね,本・～本,ほん・～ほん・～ぼん・～ぽん
0010,上,0010_1.jpg,0010_2.jpg,一,3,常用漢字,1年,N5,10級,なし,ジョウ,jou,ショウ,shou,,,,,,,うえ,ue,うわ,uwa,かみ,kami,あ・げる（～を）,a-geru(～wo),あ・がる（～が）,a-garu(～ga),のぼ・る（～に・～を）,nobo-ru(～ni・～wo),のぼ・せる（～に）,nobo-seru(～ni),,,,,,,うえ。よい。のぼる。うえへ<ruby><rt>向</rt><rb>む</rb></ruby>かう。<ruby><rt>終</rt><rb>お</rb></ruby>わる。～のうえで。～の<ruby><rt>点</rt><rb>てん</rb></ruby>で。,以上,いじょう,ijou,"more than, above",18歳じゅうはっさい以上いじょうの人ひとは、車くるまの免許めんきょが取とれる。,上げる,あげる,ageru,"raise, lift up",日本語にほんごの能力のうりょくを上あげるため、努力どりょくする。,値上げ（する）,ねあげ（する）,neage(suru),raising the price,電力会社でんりょくがいしゃは基本料金きほんりょうきんを値上ねあげした。,上,うえ,売り上げ・売上,うりあげ・うりあげ,上昇（する）,じょうしょう（する）,仕上げる,しあげる,地上,ちじょう
